domain_name,target_series,stage_order,forecast_stage,selected_model,interval_method,is_primary,n,covered,violations,coverage,coverage_gap_from_080,wilson_95_low,wilson_95_high,lr_uc,p_uc,n00,n01,n10,n11,lr_ind,p_ind,lr_cc,p_cc,average_interval_width,average_half_width,mean_interval_score,median_interval_score,lower_miss_rate,upper_miss_rate,minimum_calibration_count,maximum_calibration_count
Inflation,CPILFESL,2,mid_month,Inflation Ridge-AR Ensemble,exp_weighted_q80,1,40,35,5,0.875,0.07499999999999996,0.738878801611489,0.945404997490546,1.5728148158207418,0.2097987046721094,30,5,4,0,1.1627713196838165,0.28089153375741666,2.7355861355045583,0.2546683756720095,4.467304278892729,2.2336521394463644,5.421731500111069,4.363407140942623,0.075,0.05,36,48
Inflation,CPILFESL,2,mid_month,Inflation Ridge-AR Ensemble,gaussian_rmse,0,40,38,2,0.95,0.1499999999999999,0.8349612263085903,0.9861793326138516,7.5154420819465315,0.00611722701014106,36,2,1,0,0.10669829207442305,0.7439348567676765,7.622140374020955,0.022124488942245838,5.700884064153445,2.8504420320767223,6.242021081088048,5.892221566895189,0.025,0.025,36,48
Inflation,CPILFESL,2,mid_month,Inflation Ridge-AR Ensemble,rolling_q80,0,40,38,2,0.95,0.1499999999999999,0.8349612263085903,0.9861793326138516,7.5154420819465315,0.00611722701014106,36,2,1,0,0.10669829207442305,0.7439348567676765,7.622140374020955,0.022124488942245838,5.249219571702116,2.624609785851058,5.894486724926564,5.293179002597931,0.025,0.025,36,48
Inflation,CPILFESL,3,month_end,Inflation Ridge-AR Ensemble,exp_weighted_q80,1,40,36,4,0.9,0.09999999999999998,0.7694822477247771,0.9604204713173936,2.9352011227800467,0.08666786826545826,32,4,3,0,0.6771783041960333,0.41056006153253877,3.61237942697608,0.16427889545164812,4.50340362543703,2.251701812718515,5.424301400869811,4.386542764018428,0.05,0.05,36,48
Inflation,CPILFESL,3,month_end,Inflation Ridge-AR Ensemble,gaussian_rmse,0,40,38,2,0.95,0.1499999999999999,0.8349612263085903,0.9861793326138516,7.5154420819465315,0.00611722701014106,36,2,1,0,0.10669829207442305,0.7439348567676765,7.622140374020955,0.022124488942245838,5.675104595353149,2.8375522976765746,6.216261793486457,5.895538073395487,0.025,0.025,36,48
Inflation,CPILFESL,3,month_end,Inflation Ridge-AR Ensemble,rolling_q80,0,40,38,2,0.95,0.1499999999999999,0.8349612263085903,0.9861793326138516,7.5154420819465315,0.00611722701014106,36,2,1,0,0.10669829207442305,0.7439348567676765,7.622140374020955,0.022124488942245838,5.276073047819393,2.6380365239096966,5.92134020104384,5.293179002597931,0.025,0.025,36,48
Inflation,CPILFESL,4,pre_release,Inflation Ridge-AR Ensemble,exp_weighted_q80,1,40,35,5,0.875,0.07499999999999996,0.738878801611489,0.945404997490546,1.5728148158207418,0.2097987046721094,30,5,4,0,1.1627713196838165,0.28089153375741666,2.7355861355045583,0.2546683756720095,4.413287687969031,2.2066438439845153,5.445585872541224,4.276155141736167,0.075,0.05,36,48
Inflation,CPILFESL,4,pre_release,Inflation Ridge-AR Ensemble,gaussian_rmse,0,40,38,2,0.95,0.1499999999999999,0.8349612263085903,0.9861793326138516,7.5154420819465315,0.00611722701014106,36,2,1,0,0.10669829207442305,0.7439348567676765,7.622140374020955,0.022124488942245838,5.641670798592142,2.820835399296071,6.191334342714013,5.862747715923761,0.025,0.025,36,48
Inflation,CPILFESL,4,pre_release,Inflation Ridge-AR Ensemble,rolling_q80,0,40,38,2,0.95,0.1499999999999999,0.8349612263085903,0.9861793326138516,7.5154420819465315,0.00611722701014106,36,2,1,0,0.10669829207442305,0.7439348567676765,7.622140374020955,0.022124488942245838,5.215467378804969,2.6077336894024845,5.876178517936696,5.268056226206372,0.025,0.025,36,48
Inflation,PCEPI,1,month_open,Inflation Ridge-AR Ensemble,exp_weighted_q80,1,38,35,3,0.9210526315789473,0.1210526315789473,0.7920062854222853,0.9727854044930122,4.286165963661578,0.03842371999957884,31,3,3,0,0.530100865953731,0.4665644564351825,4.816266829615309,0.08998309903308208,6.359237094141557,3.1796185470707785,7.387325750436448,6.172406744780533,0.05263157894736842,0.02631578947368421,34,48
