domain_name,target_series,stage_order,forecast_stage,selected_model,primary_method,benchmark_method,n,primary_coverage,benchmark_coverage,coverage_diff_p_minus_b,mean_score_diff_p_minus_b,median_score_diff_p_minus_b,hac_bw_score,hac_se_score,hac_z_score,hac_p_score_two_sided,mean_width_diff_p_minus_b,median_width_diff_p_minus_b
Inflation,CPILFESL,4,pre_release,Inflation Ridge-AR Ensemble,exp_weighted_q80,rolling_q80,40,0.875,0.95,-0.07499999999999996,-0.4305926453954717,-0.7546990344732647,3,0.20933646363151187,-2.0569404771900124,0.03969195179828966,-0.8021796908359381,-0.7998445048975213
Inflation,PCEPI,1,month_open,Inflation Ridge-AR Ensemble,exp_weighted_q80,gaussian_rmse,38,0.9210526315789473,0.9210526315789473,0.0,-0.5141023736875632,-1.060672884489843,3,0.19820938788462727,-2.5937337235853293,0.00949399847574206,-0.9506542337690684,-1.0635858153854887
Inflation,PCEPI,1,month_open,Inflation Ridge-AR Ensemble,exp_weighted_q80,rolling_q80,38,0.9210526315789473,0.9210526315789473,0.0,-0.036267874332069835,-0.18470022254963325,3,0.09789710601151673,-0.37046932038831915,0.7110328317276733,-0.20221715975400623,-0.21903199974572196
Inflation,PCEPI,2,mid_month,Inflation Bridge Ridge,exp_weighted_q80,gaussian_rmse,39,0.8717948717948718,0.8974358974358975,-0.02564102564102566,0.20785963017026304,0.15889525219616818,3,0.11740098951690174,1.7705100359510884,0.07664221403082072,-0.07314849812339634,0.05152912980879698
Inflation,PCEPI,2,mid_month,Inflation Bridge Ridge,exp_weighted_q80,rolling_q80,39,0.8717948717948718,0.9230769230769231,-0.05128205128205132,0.09820878759640063,0.0,3,0.13373934108528304,0.7343298299471563,0.4627477417243542,-0.24772280146902512,-0.004532338947244696
Inflation,PCEPI,3,month_end,Inflation Bridge Ridge,exp_weighted_q80,gaussian_rmse,40,0.9,0.95,-0.04999999999999993,-0.04478794279510632,-0.24910014546761827,3,0.14164997886508918,-0.3161874301284819,0.7518602480215626,-0.4948534318138146,-0.42379085285906903
Inflation,PCEPI,3,month_end,Inflation Bridge Ridge,exp_weighted_q80,rolling_q80,40,0.9,0.95,-0.04999999999999993,0.08583703239517822,-0.1347248996096031,3,0.14313755686256185,0.5996821119253657,0.5487181119567044,-0.3150046198821821,-0.3018754162895263
Inflation,PCEPI,4,pre_release,Inflation Bridge Ridge,exp_weighted_q80,gaussian_rmse,40,0.9,0.925,-0.025000000000000022,-0.11643945420185739,-0.28613781159771534,3,0.17443860642127557,-0.6675096562090841,0.5044466438131072,-0.559548994238879,-0.6475491904354822
Inflation,PCEPI,4,pre_release,Inflation Bridge Ridge,exp_weighted_q80,rolling_q80,40,0.9,0.925,-0.025000000000000022,0.006364667912623157,-0.17995356892047987,3,0.14829782134873715,0.04291814845786577,0.9657667817021007,-0.30287817063132283,-0.28546966586495337
Inflation,PCEPILFE,1,month_open,Inflation Bridge Ridge,exp_weighted_q80,gaussian_rmse,38,0.868421052631579,0.9473684210526315,-0.07894736842105254,0.025682857699986877,-0.09233197883894206,3,0.2032287446759705,0.12637413935187086,0.8994357718220836,-0.1663902812209504,-0.17606931138036197
Inflation,PCEPILFE,1,month_open,Inflation Bridge Ridge,exp_weighted_q80,rolling_q80,38,0.868421052631579,0.9473684210526315,-0.07894736842105254,0.031581759619612335,0.0,3,0.19295014029741342,0.16367834493891634,0.8699843658525475,-0.16662197971025355,0.0
Inflation,PCEPILFE,2,mid_month,Inflation Ridge-AR Ensemble,exp_weighted_q80,gaussian_rmse,39,0.8717948717948718,0.9487179487179487,-0.07692307692307687,-0.2495075111852204,-0.42007587252904344,3,0.12626461879654302,-1.9760683045126466,0.048147041634027055,-0.5071306341908082,-0.4302984764305866
Inflation,PCEPILFE,2,mid_month,Inflation Ridge-AR Ensemble,exp_weighted_q80,rolling_q80,39,0.8717948717948718,0.9487179487179487,-0.07692307692307687,-0.10009405566716921,-0.04476296629881826,3,0.11711130880073965,-0.8546916321930563,0.39272188421121434,-0.2892375085117265,-0.09797083944263996
Inflation,PCEPILFE,3,month_end,Inflation Bridge Ridge,exp_weighted_q80,gaussian_rmse,40,0.875,0.95,-0.07499999999999996,-0.32814856901425876,-0.5876768703915625,3,0.23603423550130226,-1.3902583594168834,0.1644504376075493,-0.8003246937368484,-0.8590238945035495
Inflation,PCEPILFE,3,month_end,Inflation Bridge Ridge,exp_weighted_q80,rolling_q80,40,0.875,0.925,-0.050000000000000044,-0.026066030224165492,-0.24766806691709142,3,0.1714488553786533,-0.15203385386620036,0.8791602344842433,-0.3904129974214937,-0.27630786562928655
Inflation,PCEPILFE,4,pre_release,Inflation Bridge Ridge,exp_weighted_q80,gaussian_rmse,40,0.9,0.95,-0.04999999999999993,-0.3358955666021541,-0.528189219489875,3,0.24525096039753672,-1.3695993934445274,0.1708119890618094,-0.7678368500183732,-0.6625566747720719
Inflation,PCEPILFE,4,pre_release,Inflation Bridge Ridge,exp_weighted_q80,rolling_q80,40,0.9,0.95,-0.04999999999999993,-0.049281214746794234,-0.27167704411066196,3,0.1788469638205501,-0.27554963022040224,0.7828940015260932,-0.3908878476013387,-0.34556139775643824
Labour,CES0500000003,1,month_open,Labour Bridge Ridge,exp_weighted_q80,gaussian_rmse,41,0.8536585365853658,0.9512195121951219,-0.09756097560975607,-4.017540736211064,-2.1512310167328117,3,1.2245117543938344,-3.2809327650757036,0.0010346440470483387,-4.595820805231328,-2.1512310167328117
Labour,CES0500000003,1,month_open,Labour Bridge Ridge,exp_weighted_q80,rolling_q80,41,0.8536585365853658,0.9512195121951219,-0.09756097560975607,-0.7894136077546698,-1.1599418512333308,3,0.21969177784878613,-3.593277889070675,0.00032654400989962085,-1.348052144764531,-1.290458976161018
