domain_name,target_series,stage_order,forecast_stage,selected_model,variant,n,covered,coverage,wilson_95_low,wilson_95_high,average_interval_width,mean_interval_score
Labour,PAYEMS,3,after_week_2,Labour Factor Ridge,short_memory,41,35,0.85365853658536583,0.71556541957519038,0.93115751858704066,603.44356126297305,754.48036155079103
Labour,PAYEMS,3,after_week_2,Labour Factor Ridge,long_memory,41,37,0.90243902439024393,0.77452318694476618,0.96140291510191056,797.17259845881017,899.67673060680261
Labour,PAYEMS,4,month_end,Labour Bridge Ridge,short_memory,41,36,0.87804878048780488,0.74455788479023122,0.94676663531422278,564.53862969216834,717.99080560546122
Labour,PAYEMS,4,month_end,Labour Bridge Ridge,long_memory,41,37,0.90243902439024393,0.77452318694476618,0.96140291510191056,799.30874516394488,872.38497298123548
Labour,PAYEMS,5,pre_employment_report,Labour Bridge Ridge,short_memory,41,36,0.87804878048780488,0.74455788479023122,0.94676663531422278,497.9329557243596,634.4293621068191
Labour,PAYEMS,5,pre_employment_report,Labour Bridge Ridge,long_memory,41,38,0.92682926829268297,0.80572551462280961,0.9748021693660901,777.09664450696971,869.66865822166824
Labour,UNRATE,1,month_open,Labour AR(1),short_memory,40,36,0.90000000000000002,0.76948224772477714,0.96042047131739361,0.59376225535967908,0.61880224441319509
Labour,UNRATE,1,month_open,Labour AR(1),long_memory,40,40,1,0.91237839880271354,1,1.0890298755107515,1.0890298755107515
Labour,UNRATE,2,after_week_1,Labour Equal-Weight Ensemble,short_memory,40,30,0.75,0.59806038579231968,0.85812881360903703,0.78100311506568798,0.9284629524516218
Labour,UNRATE,2,after_week_1,Labour Equal-Weight Ensemble,long_memory,40,33,0.82499999999999996,0.68050009668212286,0.91254586253964076,0.8093124568940766,0.90252936784512128
Labour,UNRATE,3,after_week_2,Labour Equal-Weight Ensemble,short_memory,40,28,0.69999999999999996,0.54569981181855065,0.81925154770253472,0.78000574119933652,0.94399162431400385
Labour,UNRATE,3,after_week_2,Labour Equal-Weight Ensemble,long_memory,40,31,0.77500000000000002,0.62496903257689984,0.87683908676459266,0.79434354194051626,0.91546879696395533
Labour,UNRATE,4,month_end,Labour Equal-Weight Ensemble,short_memory,40,29,0.72499999999999998,0.57165044193789427,0.83891983752332666,0.77352558659574167,0.91344987340275152
Labour,UNRATE,4,month_end,Labour Equal-Weight Ensemble,long_memory,40,31,0.77500000000000002,0.62496903257689984,0.87683908676459266,0.79578853850974807,0.88888882698011495
Labour,UNRATE,5,pre_employment_report,Labour Equal-Weight Ensemble,short_memory,40,31,0.77500000000000002,0.62496903257689984,0.87683908676459266,0.72601156214677787,0.90327605525389676
Labour,UNRATE,5,pre_employment_report,Labour Equal-Weight Ensemble,long_memory,40,33,0.82499999999999996,0.68050009668212286,0.91254586253964076,0.74131763005810924,0.85814126146455005
