domain_name,target_series,stage_order,forecast_stage,target_period,selected_model,variant,forecast_date,actual_release_date,point_forecast,actual,prior_observable_error_count,calibration_window_count,interval_half_width,lower_80,upper_80,interval_width,interval_covered,violation,interval_score
Inflation,CPILFESL,2,mid_month,2025-04,Inflation Ridge-AR Ensemble,long_memory,2025-04-15,2025-05-13,1.5543670679004937,2.8376507842686749,62,48,2.1903868316116455,-0.63601976371115176,3.7447538995121392,4.380773663223291,1,0,4.380773663223291
Inflation,CPILFESL,3,month_end,2025-04,Inflation Ridge-AR Ensemble,short_memory,2025-04-30,2025-05-13,1.5543670679004937,2.8376507842686749,62,48,2.1903868316116455,-0.63601976371115176,3.7447538995121392,4.380773663223291,1,0,4.380773663223291
Inflation,CPILFESL,3,month_end,2025-04,Inflation Ridge-AR Ensemble,long_memory,2025-04-30,2025-05-13,1.5543670679004937,2.8376507842686749,62,48,2.1903868316116455,-0.63601976371115176,3.7447538995121392,4.380773663223291,1,0,4.380773663223291
Inflation,CPILFESL,4,pre_release,2025-04,Inflation Ridge-AR Ensemble,short_memory,2025-05-12,2025-05-13,1.5624004264248135,2.8376507842686749,62,48,2.0499219933015933,-0.48752156687677983,3.6123224197264068,4.0998439866031866,1,0,4.0998439866031866
Inflation,CPILFESL,4,pre_release,2025-04,Inflation Ridge-AR Ensemble,long_memory,2025-05-12,2025-05-13,1.5624004264248135,2.8376507842686749,62,48,2.1796929017635476,-0.6172924753387341,3.742093328188361,4.3593858035270951,1,0,4.3593858035270951
Inflation,CPILFESL,1,month_open,2025-05,Inflation 12-Month Mean,short_memory,2025-05-01,2025-06-11,2.7700118393334527,1.5576688590009269,61,48,2.4420716713083657,0.32794016802508708,5.2120835106418184,4.8841433426167313,1,0,4.8841433426167313
Inflation,CPILFESL,1,month_open,2025-05,Inflation 12-Month Mean,long_memory,2025-05-01,2025-06-11,2.7700118393334527,1.5576688590009269,61,48,2.4951717657703654,0.27484007356308737,5.2651836051038181,4.9903435315407307,1,0,4.9903435315407307
Inflation,CPILFESL,2,mid_month,2025-05,Inflation Ridge-AR Ensemble,short_memory,2025-05-15,2025-06-11,3.6256741499511906,1.5576688590009269,63,48,1.9619854040524567,1.6636887458987339,5.5876595540036469,3.9239708081049134,0,1,4.9841696770829831
Inflation,CPILFESL,2,mid_month,2025-05,Inflation Ridge-AR Ensemble,long_memory,2025-05-15,2025-06-11,3.6256741499511906,1.5576688590009269,63,48,2.1379452163945949,1.4877289335565957,5.763619366345786,4.2758904327891898,1,0,4.2758904327891898
Inflation,CPILFESL,3,month_end,2025-05,Inflation Ridge-AR Ensemble,short_memory,2025-05-31,2025-06-11,3.6256741499511906,1.5576688590009269,63,48,2.0452345986770748,1.5804395512741158,5.6709087486282659,4.0904691973541496,0,1,4.3181761200860391
Inflation,CPILFESL,3,month_end,2025-05,Inflation Ridge-AR Ensemble,long_memory,2025-05-31,2025-06-11,3.6256741499511906,1.5576688590009269,63,48,2.1903868316116455,1.4352873183395451,5.8160609815628366,4.380773663223291,1,0,4.380773663223291
Inflation,CPILFESL,4,pre_release,2025-05,Inflation Ridge-AR Ensemble,short_memory,2025-06-10,2025-06-11,3.6248601106454279,1.5576688590009269,63,48,1.9350969844621124,1.6897631261833155,5.5599570951075403,3.8701939689242248,0,1,5.1911366407481108
Inflation,CPILFESL,4,pre_release,2025-05,Inflation Ridge-AR Ensemble,long_memory,2025-06-10,2025-06-11,3.6248601106454279,1.5576688590009269,63,48,2.1380775708680835,1.4867825397773444,5.7629376815135114,4.276155141736167,1,0,4.276155141736167
Inflation,CPILFESL,1,month_open,2025-06,Inflation 12-Month Mean,short_memory,2025-06-01,2025-07-15,2.7435395795799344,2.7357167584597164,62,48,2.1022511143161005,0.64128846526383398,4.8457906938960349,4.2045022286322009,1,0,4.2045022286322009
Inflation,CPILFESL,1,month_open,2025-06,Inflation 12-Month Mean,long_memory,2025-06-01,2025-07-15,2.7435395795799344,2.7357167584597164,62,48,2.48999788683264,0.25354169274729443,5.2335374664125744,4.97999577366528,1,0,4.97999577366528
Inflation,CPILFESL,2,mid_month,2025-06,Inflation Ridge-AR Ensemble,short_memory,2025-06-15,2025-07-15,3.3811846956151879,2.7357167584597164,64,48,2.0680052909502638,1.3131794046649241,5.4491899865654521,4.1360105819005275,1,0,4.1360105819005284
Inflation,CPILFESL,2,mid_month,2025-06,Inflation Ridge-AR Ensemble,long_memory,2025-06-15,2025-07-15,3.3811846956151879,2.7357167584597164,64,48,2.0680052909502638,1.3131794046649241,5.4491899865654521,4.1360105819005275,1,0,4.1360105819005284
Inflation,CPILFESL,3,month_end,2025-06,Inflation Ridge-AR Ensemble,short_memory,2025-06-30,2025-07-15,3.3811846956151879,2.7357167584597164,64,48,2.0680052909502638,1.3131794046649241,5.4491899865654521,4.1360105819005275,1,0,4.1360105819005284
Inflation,CPILFESL,3,month_end,2025-06,Inflation Ridge-AR Ensemble,long_memory,2025-06-30,2025-07-15,3.3811846956151879,2.7357167584597164,64,48,2.1379452163945949,1.243239479220593,5.5191299120097828,4.2758904327891898,1,0,4.2758904327891898
Inflation,CPILFESL,4,pre_release,2025-06,Inflation Ridge-AR Ensemble,short_memory,2025-07-14,2025-07-15,3.3802130308000775,2.7357167584597164,64,48,2.067191251644501,1.3130217791555765,5.4474042824445785,4.134382503289002,1,0,4.134382503289002
