backtest_id,forecast_stage,forecast_date,target_period,actual_release_date,days_to_release
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2020-04-28,2020Q1,2020-04-29,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2020-04-15,2020Q2,2020-07-30,106
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2020-05-15,2020Q2,2020-07-30,76
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2020-06-15,2020Q2,2020-07-30,45
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2020-06-30,2020Q2,2020-07-30,30
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2020-07-29,2020Q2,2020-07-30,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2020-07-15,2020Q3,2020-10-29,106
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2020-08-15,2020Q3,2020-10-29,75
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2020-09-15,2020Q3,2020-10-29,44
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2020-09-30,2020Q3,2020-10-29,29
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2020-10-28,2020Q3,2020-10-29,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2020-10-15,2020Q4,2021-01-28,105
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2020-11-15,2020Q4,2021-01-28,74
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2020-12-15,2020Q4,2021-01-28,44
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2020-12-31,2020Q4,2021-01-28,28
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2021-01-27,2020Q4,2021-01-28,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2021-01-15,2021Q1,2021-04-29,104
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2021-02-15,2021Q1,2021-04-29,73
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2021-03-15,2021Q1,2021-04-29,45
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2021-03-31,2021Q1,2021-04-29,29
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2021-04-28,2021Q1,2021-04-29,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2021-04-15,2021Q2,2021-07-29,105
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2021-05-15,2021Q2,2021-07-29,75
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2021-06-15,2021Q2,2021-07-29,44
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2021-06-30,2021Q2,2021-07-29,29
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2021-07-28,2021Q2,2021-07-29,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2021-07-15,2021Q3,2021-10-28,105
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2021-08-15,2021Q3,2021-10-28,74
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2021-09-15,2021Q3,2021-10-28,43
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2021-09-30,2021Q3,2021-10-28,28
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2021-10-27,2021Q3,2021-10-28,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2021-10-15,2021Q4,2022-01-27,104
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2021-11-15,2021Q4,2022-01-27,73
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2021-12-15,2021Q4,2022-01-27,43
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2021-12-31,2021Q4,2022-01-27,27
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2022-01-26,2021Q4,2022-01-27,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2022-01-15,2022Q1,2022-04-28,103
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2022-02-15,2022Q1,2022-04-28,72
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2022-03-15,2022Q1,2022-04-28,44
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2022-03-31,2022Q1,2022-04-28,28
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2022-04-27,2022Q1,2022-04-28,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2022-04-15,2022Q2,2022-07-28,104
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2022-05-15,2022Q2,2022-07-28,74
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2022-06-15,2022Q2,2022-07-28,43
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2022-06-30,2022Q2,2022-07-28,28
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2022-07-27,2022Q2,2022-07-28,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2022-07-15,2022Q3,2022-10-27,104
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2022-08-15,2022Q3,2022-10-27,73
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2022-09-15,2022Q3,2022-10-27,42
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2022-09-30,2022Q3,2022-10-27,27
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2022-10-26,2022Q3,2022-10-27,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2022-10-15,2022Q4,2023-01-26,103
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2022-11-15,2022Q4,2023-01-26,72
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2022-12-15,2022Q4,2023-01-26,42
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2022-12-31,2022Q4,2023-01-26,26
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2023-01-25,2022Q4,2023-01-26,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2023-01-15,2023Q1,2023-04-27,102
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2023-02-15,2023Q1,2023-04-27,71
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2023-03-15,2023Q1,2023-04-27,43
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2023-03-31,2023Q1,2023-04-27,27
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2023-04-26,2023Q1,2023-04-27,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2023-04-15,2023Q2,2023-07-27,103
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2023-05-15,2023Q2,2023-07-27,73
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2023-06-15,2023Q2,2023-07-27,42
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2023-06-30,2023Q2,2023-07-27,27
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2023-07-26,2023Q2,2023-07-27,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2023-07-15,2023Q3,2023-10-26,103
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2023-08-15,2023Q3,2023-10-26,72
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2023-09-15,2023Q3,2023-10-26,41
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2023-09-30,2023Q3,2023-10-26,26
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2023-10-25,2023Q3,2023-10-26,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2023-10-15,2023Q4,2024-01-25,102
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2023-11-15,2023Q4,2024-01-25,71
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2023-12-15,2023Q4,2024-01-25,41
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2023-12-31,2023Q4,2024-01-25,25
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2024-01-24,2023Q4,2024-01-25,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2024-01-15,2024Q1,2024-04-25,101
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2024-02-15,2024Q1,2024-04-25,70
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2024-03-15,2024Q1,2024-04-25,41
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2024-03-31,2024Q1,2024-04-25,25
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2024-04-24,2024Q1,2024-04-25,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2024-04-15,2024Q2,2024-07-25,101
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2024-05-15,2024Q2,2024-07-25,71
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2024-06-15,2024Q2,2024-07-25,40
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2024-06-30,2024Q2,2024-07-25,25
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2024-07-24,2024Q2,2024-07-25,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2024-07-15,2024Q3,2024-10-30,107
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2024-08-15,2024Q3,2024-10-30,76
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2024-09-15,2024Q3,2024-10-30,45
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2024-09-30,2024Q3,2024-10-30,30
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2024-10-29,2024Q3,2024-10-30,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2024-10-15,2024Q4,2025-01-30,107
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2024-11-15,2024Q4,2025-01-30,76
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2024-12-15,2024Q4,2025-01-30,46
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2024-12-31,2024Q4,2025-01-30,30
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2025-01-29,2024Q4,2025-01-30,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2025-01-15,2025Q1,2025-04-30,105
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2025-02-15,2025Q1,2025-04-30,74
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2025-03-15,2025Q1,2025-04-30,46
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2025-03-31,2025Q1,2025-04-30,30
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2025-04-29,2025Q1,2025-04-30,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2025-04-15,2025Q2,2025-07-30,106
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2025-05-15,2025Q2,2025-07-30,76
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2025-06-15,2025Q2,2025-07-30,45
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2025-06-30,2025Q2,2025-07-30,30
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2025-07-29,2025Q2,2025-07-30,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2025-07-15,2025Q3,2025-12-23,161
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2025-08-15,2025Q3,2025-12-23,130
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2025-09-15,2025Q3,2025-12-23,99
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2025-09-30,2025Q3,2025-12-23,84
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2025-12-22,2025Q3,2025-12-23,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2025-10-15,2025Q4,2026-02-20,128
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2025-11-15,2025Q4,2026-02-20,97
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2025-12-15,2025Q4,2026-02-20,67
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2025-12-31,2025Q4,2026-02-20,51
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2026-02-19,2025Q4,2026-02-20,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2026-01-15,2026Q1,2026-04-30,105
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2026-02-15,2026Q1,2026-04-30,74
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2026-03-15,2026Q1,2026-04-30,46
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2026-03-31,2026Q1,2026-04-30,30
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2026-04-29,2026Q1,2026-04-30,1
